"t","year","l","al","ga","sigma","rr","etree","cost1","pbacktime","partfract","forcoth","cpricebase"
"241",2250.0000000000,10495.4888157582,28.8009713534,0.0037434586,0.0646761628,0.0280640186,0.0000735925,0.0023570360,102.0422429510,1.0000000000,0.7000000000,115.8887351529
"242",2251.0000000000,10495.6167444687,28.9091917153,0.0037210651,0.0641684481,0.0276492795,0.0000703803,0.0023267216,101.5268517271,1.0000000000,0.7000000000,118.2065098560
"243",2252.0000000000,10495.7410460974,29.0171664804,0.0036988055,0.0636652207,0.0272406694,0.0000673084,0.0022968152,101.0140636224,1.0000000000,0.7000000000,120.5706400531
"244",2253.0000000000,10495.8618234395,29.1248937988,0.0036766792,0.0631664371,0.0268380979,0.0000643706,0.0022673111,100.5038654890,1.0000000000,0.7000000000,122.9820528542
"245",2254.0000000000,10495.9791763792,29.2323718509,0.0036546851,0.0626720541,0.0264414758,0.0000615609,0.0022382036,99.9962442457,1.0000000000,0.7000000000,125.4416939113
"246",2255.0000000000,10496.0932019719,29.3395988464,0.0036328227,0.0621820291,0.0260507151,0.0000588740,0.0022094871,99.4911868772,1.0000000000,0.7000000000,127.9505277895
"247",2256.0000000000,10496.2039945243,29.4465730243,0.0036110910,0.0616963198,0.0256657291,0.0000563043,0.0021811562,98.9886804339,1.0000000000,0.7000000000,130.5095383453
"248",2257.0000000000,10496.3116456723,29.5532926531,0.0035894893,0.0612148845,0.0252864327,0.0000538467,0.0021532054,98.4887120318,1.0000000000,0.7000000000,133.1197291122
"249",2258.0000000000,10496.4162444561,29.6597560305,0.0035680169,0.0607376818,0.0249127415,0.0000514965,0.0021256295,97.9912688518,1.0000000000,0.7000000000,135.7821236944
"250",2259.0000000000,10496.5178773940,29.7659614829,0.0035466729,0.0602646708,0.0245445729,0.0000492488,0.0020984231,97.4963381396,1.0000000000,0.7000000000,138.4977661683
"251",2260.0000000000,10496.6166285535,29.8719073659,0.0035254565,0.0597958109,0.0241818453,0.0000470992,0.0020715812,97.0039072053,1.0000000000,0.7000000000,141.2677214917
"252",2261.0000000000,10496.7125796208,29.9775920636,0.0035043671,0.0593310622,0.0238244781,0.0000450434,0.0020450986,96.5139634231,1.0000000000,0.7000000000,144.0930759215
"253",2262.0000000000,10496.8058099681,30.0830139887,0.0034834039,0.0588703850,0.0234723922,0.0000430774,0.0020189702,96.0264942310,1.0000000000,0.7000000000,146.9749374400
"254",2263.0000000000,10496.8963967190,30.1881715825,0.0034625660,0.0584137400,0.0231255096,0.0000411972,0.0019931913,95.5414871305,1.0000000000,0.7000000000,149.9144361888
"255",2264.0000000000,10496.9844148122,30.2930633144,0.0034418528,0.0579610885,0.0227837533,0.0000393990,0.0019677568,95.0589296861,1.0000000000,0.7000000000,152.9127249125
"256",2265.0000000000,10497.0699370635,30.3976876818,0.0034212635,0.0575123920,0.0224470475,0.0000376793,0.0019426620,94.5788095251,1.0000000000,0.7000000000,155.9709794108
"257",2266.0000000000,10497.1530342253,30.5020432102,0.0034007974,0.0570676125,0.0221153178,0.0000360347,0.0019179021,94.1011143375,1.0000000000,0.7000000000,159.0903989990
"258",2267.0000000000,10497.2337750459,30.6061284530,0.0033804537,0.0566267125,0.0217884904,0.0000344619,0.0018934725,93.6258318753,1.0000000000,0.7000000000,162.2722069790
"259",2268.0000000000,10497.3122263252,30.7099419909,0.0033602317,0.0561896545,0.0214664930,0.0000329577,0.0018693686,93.1529499522,1.0000000000,0.7000000000,165.5176511186
"260",2269.0000000000,10497.3884529707,30.8134824324,0.0033401307,0.0557564019,0.0211492542,0.0000315192,0.0018455858,92.6824564439,1.0000000000,0.7000000000,168.8280041409
"261",2270.0000000000,10497.4625180506,30.9167484131,0.0033201499,0.0553269182,0.0208367037,0.0000301435,0.0018221197,92.2143392870,1.0000000000,0.7000000000,172.2045642237
"262",2271.0000000000,10497.5344828459,31.0197385959,0.0033002887,0.0549011672,0.0205287721,0.0000288278,0.0017989659,91.7485864791,1.0000000000,0.7000000000,175.6486555082
"263",2272.0000000000,10497.6044069013,31.1224516705,0.0032805462,0.0544791133,0.0202253912,0.0000275695,0.0017761200,91.2851860784,1.0000000000,0.7000000000,179.1616286184
"264",2273.0000000000,10497.6723480739,31.2248863535,0.0032609219,0.0540607212,0.0199264938,0.0000263662,0.0017535778,90.8241262034,1.0000000000,0.7000000000,182.7448611907
"265",2274.0000000000,10497.7383625814,31.3270413881,0.0032414149,0.0536459558,0.0196320136,0.0000252154,0.0017313350,90.3653950328,1.0000000000,0.7000000000,186.3997584146
"266",2275.0000000000,10497.8025050483,31.4289155441,0.0032220247,0.0532347826,0.0193418853,0.0000241148,0.0017093875,89.9089808048,1.0000000000,0.7000000000,190.1277535829
"267",2276.0000000000,10497.8648285509,31.5305076173,0.0032027504,0.0528271674,0.0190560446,0.0000230622,0.0016877312,89.4548718171,1.0000000000,0.7000000000,193.9303086545
"268",2277.0000000000,10497.9253846614,31.6318164300,0.0031835914,0.0524230761,0.0187744282,0.0000220556,0.0016663621,89.0030564264,1.0000000000,0.7000000000,197.8089148276
"269",2278.0000000000,10497.9842234904,31.7328408301,0.0031645471,0.0520224754,0.0184969736,0.0000210929,0.0016452762,88.5535230484,1.0000000000,0.7000000000,201.7650931242
"270",2279.0000000000,10498.0413937282,31.8335796915,0.0031456166,0.0516253319,0.0182236193,0.0000201723,0.0016244696,88.1062601570,1.0000000000,0.7000000000,205.8003949866
"271",2280.0000000000,10498.0969426852,31.9340319136,0.0031267994,0.0512316129,0.0179543048,0.0000192918,0.0016039384,87.6612562847,1.0000000000,0.7000000000,209.9164028864
"272",2281.0000000000,10498.1509163307,32.0341964212,0.0031080948,0.0508412857,0.0176889702,0.0000184498,0.0015836788,87.2185000217,1.0000000000,0.7000000000,214.1147309441
"273",2282.0000000000,10498.2033593313,32.1340721644,0.0030895021,0.0504543183,0.0174275569,0.0000176445,0.0015636871,86.7779800158,1.0000000000,0.7000000000,218.3970255630
"274",2283.0000000000,10498.2543150873,32.2336581183,0.0030710206,0.0500706788,0.0171700068,0.0000168744,0.0015439595,86.3396849721,1.0000000000,0.7000000000,222.7649660742
"275",2284.0000000000,10498.3038257690,32.3329532830,0.0030526496,0.0496903356,0.0169162628,0.0000161378,0.0015244925,85.9036036531,1.0000000000,0.7000000000,227.2202653957
"276",2285.0000000000,10498.3519323512,32.4319566831,0.0030343886,0.0493132576,0.0166662688,0.0000154335,0.0015052823,85.4697248776,1.0000000000,0.7000000000,231.7646707036
"277",2286.0000000000,10498.3986746475,32.5306673679,0.0030162367,0.0489394138,0.0164199692,0.0000147598,0.0014863256,85.0380375211,1.0000000000,0.7000000000,236.3999641177
"278",2287.0000000000,10498.4440913426,32.6290844109,0.0029981935,0.0485687738,0.0161773096,0.0000141156,0.0014676188,84.6085305154,1.0000000000,0.7000000000,241.1279634001
"279",2288.0000000000,10498.4882200248,32.7272069099,0.0029802582,0.0482013072,0.0159382361,0.0000134995,0.0014491584,84.1811928478,1.0000000000,0.7000000000,245.9505226681
"280",2289.0000000000,10498.5310972169,32.8250339865,0.0029624302,0.0478369841,0.0157026956,0.0000129103,0.0014309411,83.7560135618,1.0000000000,0.7000000000,250.8695331214
"281",2290.0000000000,10498.5727584062,32.9225647862,0.0029447088,0.0474757750,0.0154706361,0.0000123468,0.0014129635,83.3329817557,1.0000000000,0.7000000000,255.8869237839
"282",2291.0000000000,10498.6132380741,33.0197984781,0.0029270935,0.0471176504,0.0152420060,0.0000118079,0.0013952224,82.9120865831,1.0000000000,0.7000000000,261.0046622595
"283",2292.0000000000,10498.6525697245,33.1167342546,0.0029095835,0.0467625813,0.0150167547,0.0000112925,0.0013777144,82.4933172525,1.0000000000,0.7000000000,266.2247555047
"284",2293.0000000000,10498.6907859115,33.2133713314,0.0028921783,0.0464105390,0.0147948322,0.0000107996,0.0013604365,82.0766630266,1.0000000000,0.7000000000,271.5492506148
"285",2294.0000000000,10498.7279182661,33.3097089473,0.0028748771,0.0460614950,0.0145761893,0.0000103282,0.0013433854,81.6621132227,1.0000000000,0.7000000000,276.9802356271
"286",2295.0000000000,10498.7639975228,33.4057463640,0.0028576795,0.0457154213,0.0143607777,0.0000098774,0.0013265580,81.2496572118,1.0000000000,0.7000000000,282.5198403397
"287",2296.0000000000,10498.7990535448,33.5014828655,0.0028405848,0.0453722899,0.0141485494,0.0000094463,0.0013099512,80.8392844185,1.0000000000,0.7000000000,288.1702371465
"288",2297.0000000000,10498.8331153483,33.5969177588,0.0028235923,0.0450320732,0.0139394576,0.0000090340,0.0012935621,80.4309843212,1.0000000000,0.7000000000,293.9336418894
"289",2298.0000000000,10498.8662111273,33.6920503729,0.0028067015,0.0446947440,0.0137334557,0.0000086397,0.0012773877,80.0247464510,1.0000000000,0.7000000000,299.8123147272
"290",2299.0000000000,10498.8983682761,33.7868800588,0.0027899117,0.0443602753,0.0135304983,0.0000082626,0.0012614250,79.6205603922,1.0000000000,0.7000000000,305.8085610217
"291",2300.0000000000,10498.9296134125,33.8814061898,0.0027732223,0.0440286402,0.0133305402,0.0000079019,0.0012456711,79.2184157815,1.0000000000,0.7000000000,311.9247322421
"292",2301.0000000000,10498.9599723996,33.9756281605,0.0027566328,0.0436998123,0.0131335371,0.0000075570,0.0012301232,78.8183023081,1.0000000000,0.7000000000,318.1632268870
"293",2302.0000000000,10498.9894703671,34.0695453872,0.0027401425,0.0433737655,0.0129394454,0.0000072272,0.0012147785,78.4202097131,1.0000000000,0.7000000000,324.5264914247
"294",2303.0000000000,10499.0181317325,34.1631573078,0.0027237509,0.0430504737,0.0127482221,0.0000069117,0.0011996342,78.0241277897,1.0000000000,0.7000000000,331.0170212532
"295",2304.0000000000,10499.0459802206,34.2564633810,0.0027074573,0.0427299112,0.0125598247,0.0000066101,0.0011846875,77.6300463824,1.0000000000,0.7000000000,337.6373616783
"296",2305.0000000000,10499.0730388838,34.3494630866,0.0026912612,0.0424120528,0.0123742116,0.0000063215,0.0011699358,77.2379553869,1.0000000000,0.7000000000,344.3901089119
"297",2306.0000000000,10499.0993301207,34.4421559253,0.0026751620,0.0420968731,0.0121913414,0.0000060456,0.0011553764,76.8478447504,1.0000000000,0.7000000000,351.2779110901
"298",2307.0000000000,10499.1248756948,34.5345414183,0.0026591591,0.0417843473,0.0120111738,0.0000057817,0.0011410067,76.4597044703,1.0000000000,0.7000000000,358.3034693119
"299",2308.0000000000,10499.1496967528,34.6266191071,0.0026432519,0.0414744508,0.0118336688,0.0000055294,0.0011268242,76.0735245950,1.0000000000,0.7000000000,365.4695386981
"300",2309.0000000000,10499.1738138415,34.7183885537,0.0026274399,0.0411671591,0.0116587870,0.0000052880,0.0011128262,75.6892952228,1.0000000000,0.7000000000,372.7789294721
